Date,Close,lag_1,lag_5,lag_10,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TrueRange,ATR,ParabolicSAR
2015-01-02,824.3739624023438,835.7445068359375,835.7445068359375,835.7445068359375,-0.013698687719529482,-0.013698687719529482,-0.013698687719529482,-0.013698687719529482,0.0,-0.002804117887202225,-0.02462945252157124,-0.033265288918931685,0.0,0.0,0.0,-0.022053480714857493,-0.022053480714857493,-0.022053480714857493,-0.022053480714857493,78.84621101762941,31.98004150390625,18.477344538889838,22.236380608791592,835.7445068359375
2015-01-05,813.0033569335938,824.3739624023438,835.7445068359375,835.7445068359375,-0.013698687719529482,-0.013698687719529482,-0.013698687719529482,-0.013698687719529482,0.01497020950174292,-0.002804117887202225,-0.02462945252157124,-0.033265288918931685,0.0,0.0,0.0,-0.01289231436539456,-0.022053480714857493,-0.022053480714857493,-0.022053480714857493,78.84621101762941,31.98004150390625,23.211803357155418,22.236380608791592,824.3739624023438
2015-01-06,810.1605224609375,813.0033569335938,835.7445068359375,835.7445068359375,-0.013889026214240253,-0.013698687719529482,-0.013698687719529482,-0.013698687719529482,0.0,-0.0068551251326260665,-0.02462945252157124,-0.033265288918931685,0.01497020950174292,0.0,0.0,-0.02613389149065805,-0.01289231436539456,-0.022053480714857493,-0.022053480714857493,78.84621101762941,31.98004150390625,21.320018101405367,22.236380608791592,813.0033569335938
2015-01-07,826.505859375,810.1605224609375,835.7445068359375,835.7445068359375,-0.003502834698957251,-0.013889026214240253,-0.013698687719529482,-0.013698687719529482,0.002605298911763173,-0.008635836397360475,-0.015490961529986559,-0.033265288918931685,0.0,0.01497020950174292,0.0,-0.012248622076199086,-0.02613389149065805,-0.01289231436539456,-0.022053480714857493,78.84621101762941,31.98004150390625,12.081341124417463,22.236380608791592,810.1605224609375
2015-01-08,836.4552001953125,826.505859375,835.7445068359375,835.7445068359375,0.01997460270894955,-0.003502834698957251,-0.013889026214240253,-0.013698687719529482,0.024118309448888688,0.02150619679978977,0.010265061490666114,0.003409936358040066,0.002605298911763173,0.0,0.01497020950174292,-0.0003138987393133298,-0.012248622076199086,-0.02613389149065805,-0.01289231436539456,78.84621101762941,31.98004150390625,24.873342341835496,22.236380608791592,826.505859375
2015-01-09,842.1405639648438,836.4552001953125,824.3739624023438,835.7445068359375,0.011965956121934027,0.01997460270894955,-0.003502834698957251,-0.013889026214240253,0.0331240474250325,0.04266858980892439,0.040056477159825396,0.028815341850701667,0.024118309448888688,0.002605298911763173,0.0,-0.0008639309392640184,-0.0003138987393133298,-0.012248622076199086,-0.02613389149065805,78.84621101762941,31.98004150390625,28.426684798481347,22.236380608791592,836.4552001953125
2015-01-12,849.2471313476562,842.1405639648438,813.0033569335938,835.7445068359375,0.006773978144299763,0.011965956121934027,0.01997460270894955,-0.003502834698957251,0.014303988098262754,0.03312407926037762,0.04266862164426928,0.04005650899517043,0.0331240474250325,0.024118309448888688,0.002605298911763173,-0.005097717071668606,-0.0008639309392640184,-0.0003138987393133298,-0.012248622076199086,78.84621101762941,31.98004150390625,16.345344279486426,22.236380608791592,842.1405639648438
2015-01-13,843.5618286132812,849.2471313476562,810.1605224609375,835.7445068359375,0.008403288284285005,0.006773978144299763,0.011965956121934027,0.01997460270894955,0.024299477957389383,0.02345153852295556,0.04227162968507037,0.05181617206896196,0.014303988098262754,0.0331240474250325,0.024118309448888688,-0.0008485363258389747,-0.005097717071668606,-0.0008639309392640184,-0.0003138987393133298,78.84621101762941,31.98004150390625,21.32001166563157,22.236380608791592,849.2471313476562
2015-01-14,852.8006591796875,843.5618286132812,826.505859375,835.7445068359375,-0.006717029794682413,0.008403288284285005,0.006773978144299763,0.011965956121934027,0.012578782206860185,0.017654975199981354,0.01680703576554766,0.03562712692766248,0.024299477957389383,0.014303988098262754,0.0331240474250325,-0.008474626990972345,-0.0008485363258389747,-0.005097717071668606,-0.0008639309392640184,78.84621101762941,31.98004150390625,17.766677098005175,22.236380608791592,843.5618286132812
2015-01-15,867.7245483398438,852.8006591796875,836.4552001953125,835.7445068359375,0.01089262699585112,-0.006717029794682413,0.008403288284285005,0.006773978144299763,0.009733995488670714,0.013944713854441657,0.019020906847563062,0.01817296741312924,0.012578782206860185,0.024299477957389383,0.014303988098262754,-0.01694955831377332,-0.008474626990972345,-0.0008485363258389747,-0.005097717071668606,78.84621101762941,31.98004150390625,22.485521123868693,22.236380608791592,852.8006591796875
