Date,SP_500,VN_30,VN_Index,VN_Index_volum,XAU_USD,XAU_USD_volum,USD_VND,USD_VND_volum,Gold,Gold_volum,Oil,Oil_volum,Bitcoin,Bitcoin_volum,FPT
2022-01-04,4793.5,1558.87,1525.58,1.82,1814.56,0.76,22752.0,-0.32,1814.0,38.0,80.0,31321.0,45897.57421875,42494677905.0,91437.0
2022-01-05,4700.6,1546.01,1522.5,-0.2,1809.53,-0.28,22755.0,0.01,1824.5999755859375,8.0,80.80000305175781,35152.0,43569.00390625,36851084859.0,84901.5
2022-01-06,4696.1,1544.95,1528.57,0.4,1788.68,-1.15,22745.0,-0.04,1788.699951171875,30.0,81.98999786376953,41582.0,43160.9296875,30208048289.0,78366.0
2022-01-07,4677.0,1532.24,1528.48,-0.01,1795.63,0.39,22685.0,-0.26,1797.0,17.0,81.75,29501.0,41557.90234375,84196607520.0,74020.0
2022-01-08,4674.766666666666,1526.3933333333334,1520.2233333333334,-0.5466666666666667,1797.5566666666668,0.3666666666666667,22688.333333333332,-0.16000000000000003,1797.4666748046875,189.33333333333334,81.45666758219402,29679.0,41733.94140625,28066355845.0,70656.0
2022-01-09,4672.533333333334,1520.5466666666666,1511.9666666666667,-1.0833333333333335,1799.4833333333333,0.3433333333333333,22691.666666666668,-0.060000000000000026,1797.933349609375,361.6666666666667,81.16333516438802,29857.0,41911.6015625,21294384372.0,68519.0
2022-01-10,4670.3,1514.7,1503.71,-1.62,1801.41,0.32,22695.0,0.04,1798.4000244140625,534.0,80.87000274658203,30035.0,41821.26171875,32104232331.0,66382.0
2022-01-11,4713.1,1499.74,1492.31,-0.76,1822.01,1.14,22698.0,0.01,1818.5999755859375,743.0,83.72000122070312,37934.0,42735.85546875,26327648900.0,64245.0
2022-01-12,4726.4,1530.04,1510.51,1.22,1825.32,0.18,22698.0,0.0,1827.199951171875,1547.0,84.66999816894531,32298.0,43949.1015625,33499938689.0,63564.0
2022-01-13,4659.0,1526.43,1496.05,-0.96,1822.09,-0.18,22710.0,0.05,1821.199951171875,40.0,84.47000122070312,27107.0,42591.5703125,47691135082.0,75868.0
2022-01-14,4662.9,1523.57,1496.02,0.0,1817.22,-0.27,22710.0,0.0,1816.5,816.0,86.05999755859375,31970.0,43099.69921875,23577403399.0,75209.0
2022-01-15,4641.45,1508.5833333333333,1481.6266666666666,-0.9633333333333334,1817.81,-0.14666666666666667,22713.333333333332,0.013333333333333334,1815.4500122070312,837.0,86.42249870300293,35446.25,43177.3984375,18371348298.0,74577.33333333333
2022-01-16,4620.0,1493.5966666666666,1467.2333333333333,-1.9266666666666667,1818.4,-0.023333333333333345,22716.666666666668,0.02666666666666667,1814.4000244140625,858.0,86.78499984741211,38922.5,43113.87890625,17902097845.0,73945.66666666667
2022-01-17,4598.55,1478.61,1452.84,-2.89,1818.99,0.1,22720.0,0.04,1813.3500366210938,879.0,87.14750099182129,42398.75,42250.55078125,21690904261.0,73314.0
2022-01-18,4577.1,1477.06,1438.94,-0.96,1813.54,-0.3,22750.0,0.13,1812.300048828125,900.0,87.51000213623047,45875.0,42375.6328125,22417209227.0,72573.0
2022-01-19,4532.8,1482.55,1442.79,0.27,1839.96,1.46,22700.0,-0.22,1843.0999755859375,4.0,88.44000244140625,37483.0,41744.328125,23091543258.0,72738.0
2022-01-20,4482.7,1492.81,1465.3,1.56,1838.36,-0.09,22645.0,-0.24,1842.5,20.0,88.37999725341797,30524.0,40680.41796875,20382033940.0,73149.0
2022-01-21,4397.9,1502.16,1472.89,0.52,1833.24,-0.28,22625.0,-0.09,1831.800048828125,19.0,87.88999938964844,29566.0,36457.31640625,43011992031.0,72655.0
2022-01-22,4401.966666666666,1491.8766666666668,1461.8300000000002,-0.4033333333333333,1836.5133333333333,-0.006666666666666654,22641.666666666668,0.013333333333333336,1835.1000162760417,15.333333333333334,87.3499984741211,31128.333333333332,35030.25,39714385405.0,71858.66666666667
2022-01-23,4406.033333333334,1481.5933333333332,1450.77,-1.3266666666666667,1839.7866666666666,0.2666666666666667,22658.333333333332,0.11666666666666667,1838.3999837239583,11.666666666666668,86.80999755859375,32690.666666666668,36276.8046875,26017975951.0,71062.33333333333
