Date,EUR
2020-11-24,1515.71
2020-11-25,1519.13
2020-11-26,1517.17
2020-11-27,1488.08
2020-11-30,1474.44
2020-12-01,1503.32
2020-12-02,1507.15
2020-12-03,1508.6
2020-12-04,1517.62
2020-12-07,1532.97
2020-12-08,1542.01
2020-12-09,1525.64
2020-12-10,1521.74
2020-12-11,1520.18
2020-12-14,1506.13
2020-12-15,1521.79
2020-12-16,1521.86
2020-12-17,1542.21
2020-12-18,1536.12
2020-12-21,1536.45
2020-12-22,1541.77
2020-12-23,1538.52
2020-12-24,1538.52
2020-12-25,1538.52
2020-12-28,1538.52
2020-12-29,1531.04
2020-12-30,1536.01
2020-12-31,1536.01
2021-01-01,1536.01
2021-01-04,1585.9
2021-01-05,1577.52
2021-01-06,1570.82
2021-01-07,1565.38
2021-01-08,1523.35
2021-01-11,1518.25
2021-01-12,1512.32
2021-01-13,1528.03
2021-01-14,1513.85
2021-01-15,1520.59
2021-01-18,1518.05
2021-01-19,1513.65
2021-01-20,1533.49
2021-01-21,1532.72
2021-01-22,1522.73
2021-01-25,1528.9
2021-01-26,1527.19
2021-01-27,1520.88
2021-01-28,1528.82
2021-01-29,1536.27
2021-02-01,1543.45
2021-02-02,1525.17
2021-02-03,1526.11
2021-02-04,1493.1
2021-02-05,1497.72
2021-02-08,1523.41
2021-02-09,1519.7
2021-02-10,1518.08
2021-02-11,1517.36
2021-02-12,1498.27
2021-02-15,1498.06
2021-02-16,1481.75
2021-02-17,1478.37
2021-02-18,1467.6
2021-02-19,1472.91
2021-02-22,1485.78
2021-02-23,1481.68
2021-02-24,1472.57
2021-02-25,1457.18
2021-02-26,1442.76
2021-03-01,1440.2
2021-03-02,1427.03
2021-03-03,1417.9
2021-03-04,1427.46
2021-03-05,1423.98
2021-03-08,1422.83
2021-03-09,1444.47
2021-03-10,1441.22
2021-03-11,1440.24
2021-03-12,1426.85
2021-03-15,1445.05
2021-03-16,1457.62
2021-03-17,1452.51
2021-03-18,1446.81
2021-03-19,1457.05
2021-03-22,1453.82
