Date,Close,High,Low,Open,Volume
2020-03-10,1892.3836669921875,1977.5659856299646,1864.8246815505536,1883.1973385116428,1255534
2020-03-11,1881.527587890625,1955.0182349098773,1867.3305310800877,1920.7782743668165,993537
2020-03-12,1674.4171142578125,1796.34474452297,1674.4171142578125,1787.9935369705618,1029040
2020-03-13,1717.8433837890625,1822.8123125169222,1682.7683122678468,1747.0726100567422,1291047
2020-03-16,1701.14111328125,1750.413241746441,1586.729560743434,1588.8173627970439,1749012
2020-03-17,1767.1156005859375,1795.5097075896813,1636.4191962892933,1760.4346342321155,1156024
2020-03-18,1726.19482421875,1739.5567580298289,1562.0935746014377,1687.7792645118982,1309053
2020-03-19,1691.9547119140625,1838.1008494189791,1676.9225377706998,1732.8756304154392,1521099
2020-03-20,1561.6761474609375,1782.9831950957762,1534.1171566233916,1774.6319857510655,2351061
2020-03-23,1547.0611572265625,1555.8299249193446,1347.884862490511,1454.3627559028657,1329493
2020-03-24,1590.0701904296875,1626.3979495072565,1435.1552637885598,1576.2906956071613,1190317
2020-03-25,1613.4534912109375,1649.7812483888235,1497.9020023108237,1601.3442388183087,1405853
2020-03-26,1586.7296142578125,1595.498383178711,1511.151177368164,1542.4682092285157,804876
2020-03-27,1468.5599365234375,1572.532476811847,1462.7140908847318,1572.532476811847,811949
2020-03-30,1492.36083984375,1547.4788115447502,1447.807166440799,1477.3286657434771,1301968
2020-03-31,1501.5472412109375,1547.2450282234072,1447.807236587436,1499.8769995633168,1334756
2020-04-01,1449.3521728515625,1473.1531160531008,1399.6624844132634,1461.0438642488093,897374
2020-04-02,1414.2772216796875,1460.6264308932823,1382.542627983893,1431.397199857682,1146021
2020-04-03,1405.9259033203125,1421.7931989324811,1382.5425203129062,1408.0137053745452,772420
2020-04-06,1491.9432373046875,1506.1402902205452,1423.8808953845464,1453.9452427357744,796162
2020-04-07,1523.6778564453125,1554.1514054187426,1504.8876389775025,1529.106141491569,1115167
2020-04-08,1562.510986328125,1562.510986328125,1491.228452597564,1503.634971076317,739711
2020-04-09,1653.9569091796875,1655.6271509460896,1577.5433483667912,1588.8174802900053,1073144
2020-04-14,1669.823974609375,1686.1088295755578,1632.6611004557778,1673.5820180631094,1028756
2020-04-15,1553.7421875,1665.298500382942,1553.7421875,1657.7147230247247,1012227
2020-04-16,1579.21337890625,1597.168475493497,1558.3353596187533,1561.6758427047528,969150
2020-04-17,1647.2760009765625,1666.4837819765428,1616.6737943549272,1625.1452967809332,923496
2020-04-20,1641.0123291015625,1687.7790926790117,1608.0250583638974,1659.802546610359,588373
2020-04-21,1579.21337890625,1628.422911144261,1573.3675335057508,1605.1021228227457,536697
2020-04-22,1601.7615966796875,1610.5303645447223,1571.3473797906674,1592.9928288146527,622148
2020-04-23,1648.9459228515625,1654.7917681085698,1601.344040044503,1606.3547645505091,392837
2020-04-24,1601.7615966796875,1650.1986001246414,1588.3996646948726,1648.945919001065,961090
2020-04-27,1638.5072021484375,1644.623606402165,1598.4213990377723,1628.9033118198406,545063
2020-04-28,1663.14306640625,1671.9118347704307,1621.39120625854,1648.1108920676547,571359
2020-04-29,1720.3489990234375,1732.0406912498104,1663.978340074854,1679.4280762311325,1103709
2020-04-30,1663.9781494140625,1746.2375460099397,1660.2201059147585,1746.2375460099397,701593
2020-05-01,1612.6181640625,1660.102302003376,1600.92647359286,1633.9137431322017,479374
2020-05-04,1595.080810546875,1611.7832274112402,1572.6327582034298,1600.9266564494028,431802
2020-05-05,1607.190185546875,1621.3872409660992,1587.564844232065,1621.3872409660992,488858
2020-05-06,1575.0380859375,1598.4214721550238,1565.4341951695883,1587.9824604507721,737738
