Date,Close,High,Low,Open,Volume
2020-01-02,2193.156494140625,2203.5681099627323,2155.5403337510766,2162.9292223990237,2320801
2020-01-03,2251.595458984375,2259.3202047416303,2184.7300964440965,2188.454058881591,5176894
2020-01-06,2250.252197265625,2250.252197265625,2229.7648265144003,2239.5047240846548,4227582
2020-01-07,2287.8681640625,2299.091217250734,2248.2368599874303,2256.96918122431,2965723
2020-01-08,2330.5224609375,2352.3532665234543,2284.173981385781,2293.9138792625918,4513672
2020-01-09,2323.469482421875,2344.2927128223023,2323.469482421875,2337.2396831705446,4757072
2020-01-10,2338.918701171875,2351.3454662412832,2327.499511648635,2343.284861871937,2611946
2020-01-13,2347.65087890625,2351.34532234945,2327.4993692160674,2345.6357279372314,3094591
2020-01-14,2339.590576171875,2354.7042103848717,2321.454215116279,2347.98703962354,3998616
2020-01-15,2355.7119140625,2355.7119140625,2321.79019987369,2328.1715124438624,3515782
2020-01-16,2326.15673828125,2353.818007547147,2315.0734041254195,2343.2855274311696,3774837
2020-01-17,2328.507568359375,2338.5833259031197,2313.72979062855,2329.851002698541,4796094
2020-01-20,2298.280029296875,2327.835581332258,2287.86841437532,2324.141137327835,6309877
2020-01-21,2292.570556640625,2293.2422737682664,2253.6109632374146,2287.5326781833132,3880522
2020-01-22,2275.77734375,2308.3556203650755,2262.007144355999,2299.623298798148,8701900
2020-01-23,2280.479248046875,2307.3479284362347,2269.0600588813973,2293.577729736688,3337941
2020-01-24,2292.234130859375,2300.966451357887,2279.807367073031,2289.8831214943907,2955332
2020-01-27,2258.6484375,2277.120655204461,2234.8024837360595,2275.4413626858736,2841657
2020-01-28,2267.045166015625,2277.1209223090277,2252.2673901186345,2263.014863498264,5430189
2020-01-29,2278.12841796875,2282.4945788759583,2257.9769060893273,2262.678925527859,5822315
2020-01-30,2249.916748046875,2289.5480626116655,2237.4899799206273,2250.5884652428886,2730225
2020-01-31,2255.289794921875,2262.3428233199925,2239.5044456498977,2248.572625018906,4291250
2020-02-03,2277.792724609375,2289.211915502433,2241.8558591518104,2259.6563626027537,2423187
2020-02-04,2314.0654296875,2315.7447224521497,2276.113413206413,2292.234623747052,3832801
2020-02-05,2316.080322265625,2316.080322265625,2274.769724870226,2295.5929528256306,3391709
2020-02-06,2338.5830078125,2348.6587639857553,2298.951700197697,2313.729475918471,7316817
2020-02-07,2313.392822265625,2345.9710893619904,2288.5392989137586,2326.491300788906,2511790
2020-02-10,2317.424072265625,2317.424072265625,2292.906397298177,2315.7447794596355,2519993
2020-02-11,2323.469482421875,2336.232107506008,2315.408877105581,2323.1336238670297,2625024
2020-02-12,2287.8681640625,2345.9716861386614,2283.50200344406,2337.2393649017818,2720626
2020-02-13,2271.411376953125,2330.858340389574,2244.2068343635638,2282.158850568754,4662645
2020-02-14,2248.237060546875,2278.4643290633403,2243.870899538941,2265.7017045786106,3391546
2020-02-17,2237.825439453125,2256.969376125619,2232.787561381416,2254.6183663588217,1849248
2020-02-18,2222.039794921875,2252.9387763506556,2221.3680779342926,2227.7493893163237,1915077
2020-02-19,2251.595458984375,2255.625761118595,2219.6889004217983,2229.7646557573485,1886614
2020-02-20,2245.8857421875,2264.6938177912834,2228.75695904834,2260.3276573832622,3367732
2020-02-21,2251.931396484375,2255.6258402369967,2219.017261233746,2236.4819044279575,3508947
2020-02-24,2174.012451171875,2270.5381681749486,2168.638714230928,2233.1235575222922,3884621
2020-02-25,2146.4716796875,2192.4842943201375,2146.4716796875,2178.378237279475,3465725
2020-02-26,2162.593017578125,2163.264734620392,2089.7117184921717,2129.343023985916,3810308
2020-02-27,2124.304931640625,2221.703892933239,2106.168573330966,2179.72158203125,5501416
2020-02-28,2057.13330078125,2124.305000398597,2015.1509885204082,2078.292386160714,9159533
2020-03-02,2015.4873046875,2108.855988357409,1990.96962875979,2105.8332611882392,7800120
2020-03-03,2081.987060546875,2115.572914080459,2044.0350460539253,2069.560294739449,8266860
2020-03-04,2152.18115234375,2152.18115234375,2076.6129939047137,2094.7493519300824,4710996
2020-03-05,2179.3857421875,2194.835232731594,2142.7771667677994,2193.491798771238,5668964
2020-03-06,2086.353271484375,2167.646454365002,2076.9492322696997,2158.8987168547264,8317360
2020-03-09,2000.709228515625,2086.954352058219,1942.2698453090245,1972.8329710090284,5896105
2020-03-10,1940.590576171875,2052.3307741147582,1940.590576171875,2035.6385396638516,6819796
2020-03-11,1936.5599365234375,1985.9311315752836,1928.1634747799262,1969.4740665580016,5833866
2020-03-12,1736.3885498046875,1887.5248839269523,1736.3885498046875,1867.7092312309221,6565970
2020-03-13,1799.1943359375,1898.9443299217146,1762.2498937211242,1855.2827163932704,9467149
2020-03-16,1764.936279296875,1775.347891981595,1625.1586406745193,1734.7090166638172,8629233
2020-03-17,1826.7347412109375,1843.8635280838475,1707.1690916667026,1813.6362571316533,8978775
2020-03-18,1813.63623046875,1882.151376953125,1739.0756298828126,1778.7069401041667,10014610
2020-03-19,1766.95166015625,1929.5071825884158,1707.8405610900077,1852.2597235813948,8584187
2020-03-20,1706.4971923828125,1864.6865601474858,1699.444163246808,1859.9845407234827,10267114
2020-03-23,1600.0303955078125,1703.4748459310715,1586.93190990227,1665.1869649302548,9386821
2020-03-24,1721.6109619140625,1723.9754192730759,1612.4569309694525,1643.0200596339432,8643355
2020-03-25,1731.35107421875,1794.156632100206,1644.3636972599418,1748.4798627318744,6724604
2020-03-26,1874.39013671875,1874.39013671875,1700.9053353323063,1716.3338255741837,8447871
