Price,Close,High,Low,Open,Volume
Ticker,BATS.L,BATS.L,BATS.L,BATS.L,BATS.L
Date,,,,,
1995-03-03,-2008.9818115234375,-2008.9818115234377,-2008.9818115234377,-2008.9818115234377,982704
1995-03-06,-1955.48486328125,-1955.48486328125,-1955.48486328125,-1955.48486328125,2741459
1995-03-07,-1911.3544921875,-1911.3544921875,-1911.3544921875,-1911.3544921875,1676673
1995-03-08,-1962.4639892578125,-1962.4639892578125,-1962.4639892578125,-1962.4639892578125,3859570
1995-03-09,-1946.258056640625,-1946.258056640625,-1946.258056640625,-1946.258056640625,2128405
1995-03-10,-1995.0220947265625,-1995.0220947265627,-1995.0220947265627,-1995.0220947265627,1600646
1995-03-13,-1995.0220947265625,-1995.0220947265627,-1995.0220947265627,-1995.0220947265627,1555676
1995-03-14,-2036.9251708984375,-2036.9251708984377,-2036.9251708984377,-2036.9251708984377,1803916
1995-03-15,-2018.3424072265625,-2018.3424072265627,-2018.3424072265627,-2018.3424072265627,2892652
1995-03-16,-2022.9705810546875,-2022.9705810546873,-2022.9705810546873,-2022.9705810546873,2367614
1995-03-17,-2013.5894775390625,-2013.5894775390625,-2013.5894775390625,-2013.5894775390625,3849672
1995-03-20,830.3778686523438,830.3778686523436,830.3778686523436,830.3778686523436,5593967
1995-03-21,860.3705444335938,860.3705444335939,860.3705444335939,860.3705444335939,5461756
1995-03-22,874.3369140625,874.3369140625,874.3369140625,874.3369140625,3408210
1995-03-23,866.3604736328125,866.3604736328126,866.3604736328126,866.3604736328126,2305699
1995-03-24,884.2869873046875,884.2869873046875,884.2869873046875,884.2869873046875,0
1995-03-27,882.3238525390625,882.3238525390625,882.3238525390625,882.3238525390625,0
1995-03-28,868.34716796875,868.34716796875,868.34716796875,868.34716796875,0
1995-03-29,868.34716796875,868.34716796875,868.34716796875,868.34716796875,2840413
1995-03-30,894.3121948242188,894.3121948242189,894.3121948242189,894.3121948242189,0
1995-03-31,876.3171997070312,876.3171997070312,876.3171997070312,876.3171997070312,439
1995-04-03,868.34716796875,868.34716796875,868.34716796875,868.34716796875,0
1995-04-04,878.2886352539062,878.2886352539061,878.2886352539061,878.2886352539061,0
1995-04-05,888.31396484375,888.3139648437499,888.3139648437499,888.3139648437499,0
1995-04-06,896.2841186523438,896.2841186523438,896.2841186523438,896.2841186523438,0
1995-04-07,904.254150390625,904.254150390625,904.254150390625,904.254150390625,0
1995-04-10,898.264892578125,898.264892578125,898.264892578125,898.264892578125,0
1995-04-11,890.2942504882812,890.2942504882814,890.2942504882814,890.2942504882814,0
1995-04-12,900.3026123046875,900.3026123046876,900.3026123046876,900.3026123046876,0
1995-04-13,900.3026123046875,900.3026123046876,900.3026123046876,900.3026123046876,0
1995-04-14,900.3026123046875,900.3026123046876,900.3026123046876,900.3026123046876,0
1995-04-17,900.3026123046875,900.3026123046876,900.3026123046876,900.3026123046876,0
