Price,Close,High,Low,Open,Volume
Ticker,STJ.L,STJ.L,STJ.L,STJ.L,STJ.L
Date,,,,,
1994-01-03,63.67542266845703,63.67542266845703,63.67542266845703,63.67542266845703,0
1994-01-04,63.67542266845703,63.67542266845703,63.67542266845703,63.67542266845703,576000
1994-01-05,66.0873794555664,66.0873794555664,66.0873794555664,66.0873794555664,676000
1994-01-06,66.56975555419922,66.56975555419922,66.56975555419922,66.56975555419922,4925000
1994-01-07,68.4992904663086,68.4992904663086,68.4992904663086,68.4992904663086,1697000
1994-01-10,70.9112548828125,70.9112548828125,70.9112548828125,70.9112548828125,1017000
1994-01-11,70.9112548828125,70.9112548828125,70.9112548828125,70.9112548828125,52000
1994-01-12,69.94650268554688,69.94650268554688,69.94650268554688,69.94650268554688,112000
1994-01-13,69.46409606933594,69.46409606933594,69.46409606933594,69.46409606933594,954000
1994-01-14,69.94650268554688,69.94650268554688,69.94650268554688,69.94650268554688,311000
1994-01-17,70.9112548828125,70.9112548828125,70.9112548828125,70.9112548828125,61000
1994-01-18,70.9112548828125,70.9112548828125,70.9112548828125,70.9112548828125,0
1994-01-19,73.80562591552734,73.80562591552734,73.80562591552734,73.80562591552734,1443000
1994-01-20,72.3584213256836,72.3584213256836,72.3584213256836,72.3584213256836,83000
1994-01-21,72.3584213256836,72.3584213256836,72.3584213256836,72.3584213256836,630000
1994-01-24,79.59427642822266,79.59427642822266,79.59427642822266,79.59427642822266,2178000
1994-01-25,79.11189270019531,79.11189270019531,79.11189270019531,79.11189270019531,1089000
1994-01-26,79.11189270019531,79.11189270019531,79.11189270019531,79.11189270019531,2202000
1994-01-27,81.5238265991211,81.5238265991211,81.5238265991211,81.5238265991211,2132000
1994-01-28,83.93578338623047,83.93578338623047,83.93578338623047,83.93578338623047,376000
1994-01-31,86.10649871826172,86.10649871826172,86.10649871826172,86.10649871826172,398000
1994-02-01,90.20681762695312,90.20681762695312,90.20681762695312,90.20681762695312,1114000
1994-02-02,89.72445678710938,89.72445678710938,89.72445678710938,89.72445678710938,931000
1994-02-03,88.7596664428711,88.7596664428711,88.7596664428711,88.7596664428711,770000
1994-02-04,88.7596664428711,88.7596664428711,88.7596664428711,88.7596664428711,129000
1994-02-07,86.34773254394531,86.34773254394531,86.34773254394531,86.34773254394531,524000
1994-02-08,88.7596664428711,88.7596664428711,88.7596664428711,88.7596664428711,4898000
1994-02-09,88.7596664428711,88.7596664428711,88.7596664428711,88.7596664428711,38000
1994-02-10,88.27729034423828,88.27729034423828,88.27729034423828,88.27729034423828,35176000
1994-02-11,86.83011627197266,86.83011627197266,86.83011627197266,86.83011627197266,109000
1994-02-14,86.34773254394531,86.34773254394531,86.34773254394531,86.34773254394531,81000
1994-02-15,86.34773254394531,86.34773254394531,86.34773254394531,86.34773254394531,70000
1994-02-16,86.34773254394531,86.34773254394531,86.34773254394531,86.34773254394531,520000
1994-02-17,86.34773254394531,86.34773254394531,86.34773254394531,86.34773254394531,155000
1994-02-18,84.418212890625,84.418212890625,84.418212890625,84.418212890625,551000
1994-02-21,81.5238265991211,81.5238265991211,81.5238265991211,81.5238265991211,1129000
1994-02-22,79.59427642822266,79.59427642822266,79.59427642822266,79.59427642822266,681000
1994-02-23,79.59427642822266,79.59427642822266,79.59427642822266,79.59427642822266,1054000
1994-02-24,77.66475677490234,77.66475677490234,77.66475677490234,77.66475677490234,165000
1994-02-25,78.1471176147461,78.1471176147461,78.1471176147461,78.1471176147461,1250000
1994-02-28,78.1471176147461,78.1471176147461,78.1471176147461,78.1471176147461,93000
1994-03-01,77.66475677490234,77.66475677490234,77.66475677490234,77.66475677490234,892000
1994-03-02,75.73514556884766,75.73514556884766,75.73514556884766,75.73514556884766,831000
1994-03-03,74.77039337158203,74.77039337158203,74.77039337158203,74.77039337158203,124000
1994-03-04,74.77039337158203,74.77039337158203,74.77039337158203,74.77039337158203,12000
1994-03-07,76.21754455566406,76.21754455566406,76.21754455566406,76.21754455566406,244000
1994-03-08,76.69992065429688,76.69992065429688,76.69992065429688,76.69992065429688,184000
1994-03-09,76.21754455566406,76.21754455566406,76.21754455566406,76.21754455566406,34000
1994-03-10,76.21754455566406,76.21754455566406,76.21754455566406,76.21754455566406,28000
1994-03-11,75.73514556884766,75.73514556884766,75.73514556884766,75.73514556884766,126000
1994-03-14,75.73514556884766,75.73514556884766,75.73514556884766,75.73514556884766,130000
1994-03-15,74.77039337158203,74.77039337158203,74.77039337158203,74.77039337158203,85000
1994-03-16,74.28797912597656,74.28797912597656,74.28797912597656,74.28797912597656,1182000
